ï»?Statement","Header","Field Name","Field Value",,,,,,,,,,,,,
"Statement","Data","BrokerName","Interactive Brokers Hong Kong Limited",,,,,,,,,,,,,
"Statement","Data","BrokerAddress","Suite 1512, Two Pacific Place, 88 Queensway, Admiralty, Hong Kong",,,,,,,,,,,,,
"Statement","Data","Title","Activity Statement",,,,,,,,,,,,,
"Statement","Data","Period","September 22, 2025",,,,,,,,,,,,,
"Statement","Data","WhenGenerated","2025-09-24, 20:26:08 EDT",,,,,,,,,,,,,
"Net Asset Value","Header","Asset Class","Prior Total","Current Long","Current Short","Current Total","Change",,,,,,,,,
"Net Asset Value","Data","Cash",2110160.99347727,2108792.81467191,0,2108792.81467191,-1368.178805357,,,,,,,,,
"Net Asset Value","Data","Interest Accruals",2056.77043,2597.344754,0,2597.344754,540.574324,,,,,,,,,
"Net Asset Value","Data","Dividend Accruals",167.54263,167.44781,0,167.44781,-0.09482,,,,,,,,,
"Net Asset Value","Data","Total",2112385.30653727,2111557.60723591,0,2111557.60723591,-827.699301357,,,,,,,,,
"Net Asset Value","Header","Time Weighted Rate of Return",,,,,,,,,,,,,,
"Net Asset Value","Data",-0.04%,,,,,,,,,,,,,,
"Change in NAV","Header","Field Name","Field Value",,,,,,,,,,,,,
"Change in NAV","Data","Starting Value",2112385.30653727,,,,,,,,,,,,,
"Change in NAV","Data","Mark-to-Market",-955.40752139,,,,,,,,,,,,,
"Change in NAV","Data","Change in Interest Accruals",541.738344,,,,,,,,,,,,,
"Change in NAV","Data","Commissions",-412.77128397,,,,,,,,,,,,,
"Change in NAV","Data","Other FX Translations",-1.25884,,,,,,,,,,,,,
"Change in NAV","Data","Ending Value",2111557.60723591,,,,,,,,,,,,,
"Mark-to-Market Performance Summary","Header","Asset Category","Symbol","Prior Quantity","Current Quantity","Prior Price","Current Price","Mark-to-Market P/L Position","Mark-to-Market P/L Transaction","Mark-to-Market P/L Commissions","Mark-to-Market P/L Other","Mark-to-Market P/L Total","Code",,,
"Mark-to-Market Performance Summary","Data","Stocks","AGRI",0,0,"--",5.73,0,-170.9444,-15.60566968,0,-186.55006968,,,,
"Mark-to-Market Performance Summary","Data","Stocks","ARBE",0,0,"--",1.84,0,-17.87146,-15.7035742,0,-33.5750342,,,,
"Mark-to-Market Performance Summary","Data","Stocks","LASE",0,0,"--",4.65,0,45.84418,-122.0504165,0,-76.2062365,,,,
"Mark-to-Market Performance Summary","Data","Stocks","MBX",0,0,"--",20,0,88.386025,-77.79174581,0,10.59427919,,,,
"Mark-to-Market Performance Summary","Data","Stocks","NVDA",0,0,"--",183.61,0,-72.9349823,-23.32691742,0,-96.26189972,,,,
"Mark-to-Market Performance Summary","Data","Stocks","QUBT",0,0,"--",20.21,0,31.547012,-54.50562194,0,-22.95860994,,,,
"Mark-to-Market Performance Summary","Data","Stocks","SLNH",0,0,"--",2.1,0,-38.851,-10.43071648,0,-49.28171648,,,,
"Mark-to-Market Performance Summary","Data","Stocks","TEM",0,0,"--",85.87,0,41.16108046,-93.35662194,0,-52.19554148,,,,
"Mark-to-Market Performance Summary","Data","Total",,,,,,0,-93.66354484,-412.77128397,0,-506.43482881,,,,
"Mark-to-Market Performance Summary","Data","Forex","HKD",523.528155747,523.528155747,1,1,0,0,0,0,0,,,,
"Mark-to-Market Performance Summary","Data","Forex","JPY",3967185.5,3967185.5,0.052542,0.052596,214.228017,0,0,0,214.228017,,,,
"Mark-to-Market Performance Summary","Data","Forex","USD",244539.089442611,244473.912892611,7.7746,7.7702,-1075.97199355,0,0,0,-1075.97199355,,,,
"Mark-to-Market Performance Summary","Data","Total",,,,,,-861.74397655,0,0,0,-861.74397655,,,,
"Mark-to-Market Performance Summary","Data","Total (All Assets)",,,,,,-861.74397655,-93.66354484,-412.77128397,0,-1368.17880536,,,,
"Realized & Unrealized Performance Summary","Header","Asset Category","Symbol","Cost Adj.","Realized S/T Profit","Realized S/T Loss","Realized L/T Profit","Realized L/T Loss","Realized Total","Unrealized S/T Profit","Unrealized S/T Loss","Unrealized L/T Profit","Unrealized L/T Loss","Unrealized Total","Total","Code"
"Realized & Unrealized Performance Summary","Data","Stocks","AGRI",0,0,-186.55006968,0,0,-186.55006968,0,0,0,0,0,-186.55006968,
"Realized & Unrealized Performance Summary","Data","Stocks","ARBE",0,0,-33.5750342,0,0,-33.5750342,0,0,0,0,0,-33.5750342,
"Realized & Unrealized Performance Summary","Data","Stocks","LASE",0,117.90967692,-194.11591342,0,0,-76.2062365,0,0,0,0,0,-76.2062365,
"Realized & Unrealized Performance Summary","Data","Stocks","MBX",0,107.95682774,-97.36254855,0,0,10.59427919,0,0,0,0,0,10.59427919,
"Realized & Unrealized Performance Summary","Data","Stocks","NVDA",0,0,-96.26189972,0,0,-96.26189972,0,0,0,0,0,-96.26189972,
"Realized & Unrealized Performance Summary","Data","Stocks","QUBT",0,71.10976232,-94.06837226,0,0,-22.95860994,0,0,0,0,0,-22.95860994,
"Realized & Unrealized Performance Summary","Data","Stocks","SLNH",0,0,-49.28171648,0,0,-49.28171648,0,0,0,0,0,-49.28171648,
"Realized & Unrealized Performance Summary","Data","Stocks","TEM",0,271.26700624,-323.46254772,0,0,-52.19554148,0,0,0,0,0,-52.19554148,
"Realized & Unrealized Performance Summary","Data","Total",,0,568.24327322,-1074.67810203,0,0,-506.43482881,0,0,0,0,0,-506.43482881,
"Realized & Unrealized Performance Summary","Data","Forex","JPY",0,0,0,0,0,0,8694.819418,0,0,0,8694.819418,8694.819418,
"Realized & Unrealized Performance Summary","Data","Forex","USD",0,0,-130.546716,0,0,-130.546716,0,-2272.169806869,0,0,-2272.169806869,-2402.716522869,
"Realized & Unrealized Performance Summary","Data","Total",,0,0,-130.546716,0,0,-130.546716,8694.819418,-2272.169806869,0,0,6422.649611131,6292.102895131,
"Realized & Unrealized Performance Summary","Data","Total (All Assets)",,0,568.24327322,-1205.22481803,0,0,-636.98154481,8694.819418,-2272.169806869,0,0,6422.649611131,5785.668066321,
"Cash Report","Header","Currency Summary","Currency","Total",,,,,,,,,,,,
"Cash Report","Data","Starting Cash","Base Currency Summary",2110160.99347727,,,,,,,,,,,,
"Cash Report","Data","Commissions","Base Currency Summary",-412.77128397,,,,,,,,,,,,
"Cash Report","Data","Trades (Sales)","Base Currency Summary",98176.5236212,,,,,,,,,,,,
"Cash Report","Data","Trades (Purchase)","Base Currency Summary",-98270.18716604,,,,,,,,,,,,
"Cash Report","Data","Cash FX Translation Gain/Loss","Base Currency Summary",-861.74397655,,,,,,,,,,,,
"Cash Report","Data","Ending Cash","Base Currency Summary",2108792.81467191,,,,,,,,,,,,
"Cash Report","Data","Ending Settled Cash","Base Currency Summary",2108886.47821675,,,,,,,,,,,,
"Cash Report","Data","Starting Cash","HKD",523.528155747,,,,,,,,,,,,
"Cash Report","Data","Ending Cash","HKD",523.528155747,,,,,,,,,,,,
"Cash Report","Data","Ending Settled Cash","HKD",523.528155747,,,,,,,,,,,,
"Cash Report","Data","Starting Cash","JPY",3967185.5,,,,,,,,,,,,
"Cash Report","Data","Ending Cash","JPY",3967185.5,,,,,,,,,,,,
"Cash Report","Data","Ending Settled Cash","JPY",3967185.5,,,,,,,,,,,,
"Cash Report","Data","Starting Cash","USD",244539.089442611,,,,,,,,,,,,
"Cash Report","Data","Commissions","USD",-53.12235,,,,,,,,,,,,
"Cash Report","Data","Trades (Sales)","USD",12635.006,,,,,,,,,,,,
"Cash Report","Data","Trades (Purchase)","USD",-12647.0602,,,,,,,,,,,,
"Cash Report","Data","Ending Cash","USD",244473.912892611,,,,,,,,,,,,
"Cash Report","Data","Ending Settled Cash","USD",244485.967092611,,,,,,,,,,,,
"Forex Balances","Header","Asset Category","Currency","Description","Quantity","Cost Price","Cost Basis in HKD","Close Price","Value in HKD","Unrealized P/L in HKD","Code",,,,,
"Forex Balances","Data","Forex","HKD","HKD",523.528155747,0,-523.528155747,1,523.528155747,0,,,,,,
"Forex Balances","Data","Forex","HKD","JPY",3967185.5,0.050404315,-199963.26914,0.052596,208658.088558,8694.819418,,,,,,
"Forex Balances","Data","Forex","HKD","USD",244473.912894,7.77949412,-1901883.36777387,7.7702,1899611.197967,-2272.169806869,,,,,,
"Forex Balances","Data","Total",,,,,-2102370.16506962,,2108792.81468075,6422.649611131,,,,,,
"Trades","Header","DataDiscriminator","Asset Category","Currency","Symbol","Date/Time","Quantity","T. Price","C. Price","Proceeds","Comm/Fee","Basis","Realized P/L","MTM P/L","Code",
"Trades","Data","Order","Stocks","USD","AGRI","2025-09-22, 13:21:24",40,5.85,5.73,-234,-1.00088,235.00088,0,-4.8,"O",
"Trades","Data","Order","Stocks","USD","AGRI","2025-09-22, 14:06:01",-40,5.3,5.73,212,-1.00752,-235.00088,-24.0084,-17.2,"C",
"Trades","SubTotal",,"Stocks","USD","AGRI",,0,,,-22,-2.0084,0,-24.0084,-22,,
"Trades","Data","Order","Stocks","USD","ARBE","2025-09-22, 14:13:56",100,1.828,1.84,-182.8,-1.0022,183.8022,0,1.2,"O",
"Trades","Data","Order","Stocks","USD","ARBE","2025-09-22, 14:25:05",-100,1.805,1.84,180.5,-1.0188,-183.8022,-4.321,-3.5,"C",
"Trades","SubTotal",,"Stocks","USD","ARBE",,0,,,-2.3,-2.021,0,-4.321,-2.3,,
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 10:11:30",-50,4.85,4.65,242.5,-1.0094,-241.4906,0,10,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 10:11:46",50,4.91,4.65,-245.5,-1.0011,241.4906,-5.0105,-13,"C",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 10:23:21",-50,4.72,4.65,236,-1.0094,-234.9906,0,3.5,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 10:28:56",-50,4.71,4.65,235.5,-1.0094,-234.4906,0,3,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 10:30:08",100,4.81,4.65,-481,-1.0022,469.4812,-12.521,-16,"C",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 10:40:00",-50,4.67,4.65,233.5,-1.0094,-232.4906,0,1,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 10:43:55",-50,4.64,4.65,232,-1.0094,-230.9906,0,-0.5,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 10:50:48",100,4.505,4.65,-450.5,-1.0022,463.4812,11.979,14.5,"C",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 11:33:12",20,4.46,4.65,-89.2,-0.89244,90.09244,0,3.8,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 11:51:03",20,4.52,4.65,-90.4,-0.90444,91.30444,0,2.6,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 11:56:37",-40,4.64,4.65,185.6,-1.00752,-181.39688,3.1956,-0.4,"C",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 12:02:26",-20,4.82,4.65,96.4,-0.96776,-95.43224,0,3.4,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 12:10:08",20,4.73,4.65,-94.6,-0.94644,95.43224,-0.1142,-1.6,"C",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 12:12:19",20,4.71,4.65,-94.2,-1.00044,95.20044,0,-1.2,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 12:14:31",20,4.64,4.65,-92.8,-0.92844,93.72844,0,0.2,"O",
"Trades","Data","Order","Stocks","USD","LASE","2025-09-22, 12:17:06",-40,4.565,4.65,182.6,-1.00752,-188.92888,-7.3364,-3.4,"C",
"Trades","SubTotal",,"Stocks","USD","LASE",,0,,,5.9,-15.7075,0,-9.8075,5.9,,
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 11:01:54",-5,20.835,20,104.175,-1.00094,-103.17406,0,4.175,"O",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 11:08:41",5,20.67,20,-103.35,-1.00011,103.17406,-1.17605,-3.35,"C",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 11:11:12",-10,20.36,20,203.6,-1.00188,-202.59812,0,3.6,"O;P",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 11:21:10",10,20.87,20,-208.7,-1.00022,202.59812,-7.1021,-8.7,"C",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 12:57:40",-10,18.915,20,189.15,-1.00188,-188.14812,0,-10.85,"O",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 13:02:17",10,17.91,20,-179.1,-1.00022,188.14812,8.0479,20.9,"C",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 13:54:06",-10,18.35,20,183.5,-1.00188,-182.49812,0,-16.5,"O",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 14:00:05",20,18.625,20,-372.5,-1.00044,182.49812,-4.2521,27.5,"C;O",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 14:06:49",10,19.03,20,-190.3,-1.00022,191.30022,0,9.7,"O",
"Trades","Data","Order","Stocks","USD","MBX","2025-09-22, 14:07:40",-20,19.245,20,384.9,-1.00376,-378.05044,5.8458,-15.1,"C",
"Trades","SubTotal",,"Stocks","USD","MBX",,0,,,11.375,-10.01155,-186.75022,1.36345,11.375,,
"Trades","Data","Order","Stocks","USD","NVDA","2025-09-22, 12:49:52",-5,182.87,183.61,914.35,-1.00094,-913.34906,0,-3.7,"O",
"Trades","Data","Order","Stocks","USD","NVDA","2025-09-22, 12:53:48",-5,183.5907,183.61,917.9535,-1.00094,-916.95256,0,-0.0965,"IA;O",
"Trades","Data","Order","Stocks","USD","NVDA","2025-09-22, 12:54:10",10,184.169,183.61,-1841.69,-1.00022,1830.30162,-12.3886,-5.59,"C;IA",
"Trades","SubTotal",,"Stocks","USD","NVDA",,0,,,-9.3865,-3.0021,0,-12.3886,-9.3865,,
"Trades","Data","Order","Stocks","USD","QUBT","2025-09-22, 09:42:28",-10,18.82,20.21,188.2,-1.00188,-187.19812,0,-13.9,"O",
"Trades","Data","Order","Stocks","USD","QUBT","2025-09-22, 09:45:40",10,19.134,20.21,-191.34,-1.00022,187.19812,-5.1421,10.76,"C",
"Trades","Data","Order","Stocks","USD","QUBT","2025-09-22, 09:47:39",20,19.23,20.21,-384.6,-1.00044,385.60044,0,19.6,"O",
"Trades","Data","Order","Stocks","USD","QUBT","2025-09-22, 09:48:58",20,19.47,20.21,-389.4,-1.00044,390.40044,0,14.8,"O",
"Trades","Data","Order","Stocks","USD","QUBT","2025-09-22, 09:50:24",-40,19.654,20.21,786.16,-1.00752,-776.00088,9.1516,-22.24,"C",
"Trades","Data","Order","Stocks","USD","QUBT","2025-09-22, 10:03:55",-20,19.39,20.21,387.8,-1.00376,-386.79624,0,-16.4,"O",
"Trades","Data","Order","Stocks","USD","QUBT","2025-09-22, 10:14:13",20,19.638,20.21,-392.76,-1.00044,386.79624,-6.9642,11.44,"C",
"Trades","SubTotal",,"Stocks","USD","QUBT",,0,,,4.06,-7.0147,0,-2.9547,4.06,,
"Trades","Data","Order","Stocks","USD","SLNH","2025-09-22, 10:38:24",40,1.73,2.1,-69.2,-0.69288,69.89288,0,14.8,"O",
"Trades","Data","Order","Stocks","USD","SLNH","2025-09-22, 10:46:28",-40,1.605,2.1,64.2,-0.64952,-69.89288,-6.3424,-19.8,"C",
"Trades","SubTotal",,"Stocks","USD","SLNH",,0,,,-5,-1.3424,0,-6.3424,-5,,
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 10:16:39",-5,90.97,85.87,454.85,-1.00094,-453.84906,0,25.5,"O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 10:20:08",-10,90.57,85.87,905.7,-1.00188,-904.69812,0,47,"IA;O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 10:22:20",-5,90.3135,85.87,451.5675,-1.00094,-450.56656,0,22.2175,"IA;O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 10:52:02",-10,90.35,85.87,903.5,-1.00188,-902.49812,0,44.8,"O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 11:06:08",30,89.19,85.87,-2675.7,-1.00066,2711.61186,34.9112,-99.6,"C",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 11:13:47",4,89.24,85.87,-356.96,-1.000088,357.960088,0,-13.48,"O;P",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 11:18:06",4,89.5968,85.87,-358.3872,-1.000088,359.387288,0,-14.9072,"IA;O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 11:20:53",2,89.76,85.87,-179.52,-1.000044,180.520044,0,-7.78,"O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 11:22:34",10,90.07,85.87,-900.7,-1.00022,901.70022,0,-42,"O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 11:32:18",10,89.8853,85.87,-898.853,-1.00022,899.85322,0,-40.153,"IA;O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 11:47:37",10,89.9,85.87,-899,-1.00022,900.00022,0,-40.3,"O",
"Trades","Data","Order","Stocks","USD","TEM","2025-09-22, 12:01:48",-40,88.97,85.87,3558.8,-1.00752,-3599.42108,-41.6286,124,"C",
"Trades","SubTotal",,"Stocks","USD","TEM",,0,,,5.2973,-12.0147,0,-6.7174,5.2973,,
"Trades","Total",,"Stocks","USD",,,,,,-12.0542,-53.12235,-186.75022,-65.17655,-12.0542,,
"Trades","Total",,"Stocks","HKD",,,,,,-93.66354484,-412.77128397,-1451.086559444,-506.43482881,-93.66354484,,
"Interest Accruals","Header","Currency","Field Name","Field Value",,,,,,,,,,,,
"Interest Accruals","Data","Base Currency Summary","Starting Accrual Balance",2056.77043,,,,,,,,,,,,
"Interest Accruals","Data","Base Currency Summary","Interest Accrued",541.738344,,,,,,,,,,,,
"Interest Accruals","Data","Base Currency Summary","Accrual Reversal",0,,,,,,,,,,,,
"Interest Accruals","Data","Base Currency Summary","FX Translation",-1.16402,,,,,,,,,,,,
"Interest Accruals","Data","Base Currency Summary","Ending Accrual Balance",2597.344754,,,,,,,,,,,,
"Interest Accruals","Data","USD","Starting Accrual Balance",264.55,,,,,,,,,,,,
"Interest Accruals","Data","USD","Interest Accrued",69.72,,,,,,,,,,,,
"Interest Accruals","Data","USD","Accrual Reversal",0,,,,,,,,,,,,
"Interest Accruals","Data","USD","Ending Accrual Balance",334.27,,,,,,,,,,,,
"Interest Accruals","Data","USD","Ending Accrual Balance in HKD",2597.344754,,,,,,,,,,,,
"Financial Instrument Information","Header","Asset Category","Symbol","Description","Conid","Security ID","Underlying","Listing Exch","Multiplier","Type","Code",,,,,
"Financial Instrument Information","Data","Stocks","AGRI","AGRIFORCE GROWING SYSTEMS LT",802187800,"CAC009483040","AGRI","NASDAQ",1,"COMMON",,,,,,
"Financial Instrument Information","Data","Stocks","ARBE","ARBE ROBOTICS LTD",519629451,"IL0011796625","ARBE","NASDAQ",1,"COMMON",,,,,,
"Financial Instrument Information","Data","Stocks","LASE","LASER PHOTONICS CORP",588624356,"US51807Q1004","LASE","NASDAQ",1,"COMMON",,,,,,
"Financial Instrument Information","Data","Stocks","MBX","MBX BIOSCIENCES INC",728460098,"US55287L1017","MBX","NASDAQ",1,"COMMON",,,,,,
"Financial Instrument Information","Data","Stocks","NVDA","NVIDIA CORP",4815747,"US67066G1040","NVDA","NASDAQ",1,"COMMON",,,,,,
"Financial Instrument Information","Data","Stocks","QUBT","QUANTUM COMPUTING INC",324651164,"US74766W1080","QUBT","NASDAQ",1,"COMMON",,,,,,
"Financial Instrument Information","Data","Stocks","SLNH","SOLUNA HOLDINGS INC",659764468,"US5835433013","SLNH","NASDAQ",1,"COMMON",,,,,,
"Financial Instrument Information","Data","Stocks","TEM","TEMPUS AI INC",709237125,"US88023B1035","TEM","NASDAQ",1,"COMMON",,,,,,
"Base Currency Exchange Rate","Header","Currency","Rate",,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","AED",2.1155,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","AUD",5.128,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","BGN",4.6726,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","BHD",20.608,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","BRL",1.4564,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","CAD",5.6231,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","CHF",9.8059,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","CNH",1.092,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","CNY",1.0921,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","CZK",0.37821,,,,,,,,,,,,,
"Base Currency Exchange Rate","Data","DKK",1.2287,,,,,,,,,,,,,
